Alpha,w0,Optimal_FVC,Maximum NEGI
8,150,5.0,86.42796325683594
8,200,5.0,76.42796325683594
8,250,5.0,66.42796325683594
10,150,5.0,115.53495788574219
10,200,5.0,105.53495788574219
10,250,5.0,95.53495788574219
12,150,5.0,144.64193725585938
12,200,5.0,134.64193725585938
12,250,5.0,124.64193725585938
